id,pipe_id,location,zone,latitude,longitude,installation_year,pipe_age,material,diameter_mm,length_m,max_capacity_lps,pressure_bar,flow_rate_lps,temperature_c,operational_status,inspection_status,risk_score,risk_level,last_inspection_date
"PIPE-CAL-1002","PIPE-CAL-1002","Bow Trail & Crowchild Trail SW, Calgary","BROADCAST HILL",51.0421,-114.1284,1995,31,"Ductile Iron",450,512,650,4.8,410.2,10.8,"Active","Passed",22,"Low","2026-03-10"
"PIPE-CAL-1004","PIPE-CAL-1004","Sarcee Trail & 17th Ave SW, Calgary","WEST CALGARY",51.0378,-114.1752,2004,22,"PVC",250,320,280,5.1,195.5,9.9,"Active","Passed",14,"Low","2026-05-18"
"PIPE-CAL-1007","PIPE-CAL-1007","Shaganappi Trail & 40th Ave NW, Calgary","NOSE HILL",51.0891,-114.1522,1999,27,"PVC",200,215,200,4.6,135.2,10.2,"Active","Passed",18,"Low","2026-02-14"
"PIPE-CAL-1008","PIPE-CAL-1008","Sunterra Blvd & 24th St SE, Calgary","MIDNAPORE",50.9124,-114.0543,2011,15,"Polyethylene",150,140,130,5.4,88,10.5,"Active","Passed",8,"Low","2026-04-20"
"PIPE-CAL-1010","PIPE-CAL-1010","Beddington Trail & Country Hills Blvd NW","NOSE HILL",51.1402,-114.0931,1991,35,"Concrete",600,850,1100,4.3,760.8,9.8,"Active","Passed",25,"Low","2026-01-30"
"PIPE-CAL-1012","PIPE-CAL-1012","Richmond Rd & 37th St SW, Calgary","BROADCAST HILL",51.0254,-114.1411,2008,18,"PVC",200,290,220,5.2,140.5,10.1,"Active","Passed",11,"Low","2026-06-12"
"PIPE-CAL-1014","PIPE-CAL-1014","Southland Dr & 24th St SW, Calgary","GLENMORE",50.9632,-114.1189,2001,25,"Ductile Iron",300,310.2,330,4.7,215.4,10.9,"Active","Passed",19,"Low","2026-02-28"
"PIPE-CAL-1017","PIPE-CAL-1017","Stoney Trail & 114th Ave SE, Calgary","OGDEN",50.9498,-113.9521,2016,10,"Polyethylene",250,480,300,5.6,180,9.5,"Active","Passed",5,"Low","2026-05-02"
"PIPE-CAL-1018","PIPE-CAL-1018","University Dr & 24th Ave NW, Calgary","NOSE HILL",51.0772,-114.1332,1993,33,"Ductile Iron",350,390,440,4.4,295.5,10.7,"Active","Passed",21,"Low","2026-03-31"
"PIPE-CAL-1020","PIPE-CAL-1020","Discovery Ridge Blvd & SR-8 SW, Calgary","WEST CALGARY",51.0211,-114.2189,2009,17,"PVC",250,340,290,5.3,185,9.7,"Active","Passed",9,"Low","2026-06-05"
